<<<<<<< Updated upstream
title,organization,category,location,subject_area,deadline,grade_level,description,link,source,source_url,scraped_at
StandOut Connect,StandOut Connect,Internship,New Jersey,Computer Science,,High School,"Ages: 15-19 Location: Virtual Timeline: Summer, spring, fall, or winter Deadline: Various StandOut Connect is a program that helps match gifted high school students with online internships in their industry of interest. Potential sectors include finance, STEM, medicine, law, arts, and more. StandOut Connect is funded by StandOutSearch, the largest free database for high school internships. The program has been featured in Forbes and was created with the help of investment from The University of...",https://www.standoutconnect.org/,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Congressman Cory Booker Internship,Congressman Cory Booker Internship,Internship,New Jersey,General,,High School,"Ages: 15-18 Location: Newark and Camden, New Jersey Timeline: Summer, spring, fall, or winter Deadline: Various Congressman Cory Booker provides internships to high schoolers in both his Newark and Camden offices. Internships are offered in three sessions: spring, summer, and fall. Interns gain firsthand experience working for one of the nation’s most influential members of Congress while assisting with general office work and constituent-focused tasks like attending local events, tracking...",https://www.booker.senate.gov/services/internships,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
The Governor’s School of New Jersey in Engineering & Technology,The Governor’s School of New Jersey in Engineering & Technology,Research,New Jersey,Engineering,January 10,High School,"Ages: Rising Senior Location: New Brunswick, New Jersey Timeline: Summer Deadline: January 10 Although the Governor’s School of New Jersey in Engineering & Technology isn’t an internship per se, ambitious high schoolers will want to check out this free, residential, approximately four-week program held at Rutgers University School of Engineering. Participants take academic courses, engage in research and design projects, present a paper at a symposium, and visit local corporations. Students...",https://soe.rutgers.edu/academics/pre-college-engineering-programs/new-jersey-governors-school-engineering-and-technology,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Ocean County Historical Society High School Community Service Program,Ocean County Historical Society High School Community Service Program,Internship,New Jersey,Humanities,,High School,"Ages: 15-19 Location: Toms River, New Jersey Timeline: Year-round Deadline: Rolling Strictly speaking, the Ocean County Historical Society High School Community Service Program isn’t a high school internship. That said, this extracurricular activity is a great opportunity for New Jersey high schoolers interested in history and giving back to their communities. Students engaged in this volunteer position assist with a variety of tasks related to the museum’s day-to-day operation. Volunteers also...",https://oceancountyhistory.org/support/internships/community-service-information/,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Mercer County Student Internship Program,Mercer County Student Internship Program,Internship,New Jersey,General,April 12,High School,"Ages: 15-19 Location: Trenton, New Jersey Timeline: Summer Deadline: April 12 The Mercer County Student Internship Program is open to high schoolers who live or attend school in Mercer County, NJ. Interns take part in a variety of activities that teach new skills, develop existing knowledge and abilities, and explore potential career paths in the public sector. Interns leave the program having gained practical, hands-on, real-world experience, built career readiness, and earned some...",https://www.mercercounty.org/departments/personnel/job-opportunities/mercer-county-internship-program,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
PUPP Scholars,PUPP Scholars,Scholarship,New Jersey,General,,High School,"Ages: Freshman Location: Princeton, New Jersey Timeline: Sophomore through senior year Deadline: Students are selected to apply during the spring of their freshman year of high school Princeton University Preparatory Program (PUPP) Scholars are nurtured throughout their high school career—scholars receive academic support, are challenged to work diligently and at an exemplary level, and are guided through the college admissions and financial aid process. Scholars participate in academic...",https://pupp.princeton.edu/,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Princeton Summer Journalism Program,Princeton Summer Journalism Program,Summer Program,New Jersey,Journalism,,High School,"Ages: Junior Location: Princeton, New Jersey Timeline: Summer Deadline: Contact for Deadline The Princeton Summer Journalism Program is a free program for students from low-income backgrounds interested in pursuing a degree in journalism. Participants explore the connection between journalism and critical social and political events, receive college preparation, and help publish the program’s annual newspaper, The Princeton Summer Journal .",https://psjp.princeton.edu/about-program/program,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Rutgers New Jersey Medical School High School Interns,Rutgers New Jersey Medical School High School Interns,Research,New Jersey,Medicine,December 1,High School,"Ages: 16-19 Location: Newark, New Jersey Timeline: Year-round Deadline: December 1 Rutgers New Jersey Medical School provides high schoolers the opportunity to intern for a faculty member. Students must arrange the internship position themselves—contacting faculty members, proposing a research project, and securing a commitment from a mentor.",https://research-office.njms.rutgers.edu/training-programs/high-school,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Coriell Summer Experience for Students,Coriell Summer Experience for Students,Research,New Jersey,General,May 15,High School,"Ages: 17-19 Location: Camden, New Jersey Timeline: Summer Deadline: May 15 Coriell Summer Experience for Students is a four-week program that allows students to participate in day-to-day research activities, receive support from mentors, and gain firsthand experience working with cutting-edge equipment and technology. Participants will pursue a production laboratory experience, exploring fundamental techniques of generating, freezing, and distributing the samples. Participants are also invited...",https://www.coriell.org/1/About-Us/Education/Summer-Experience,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
Partners in Science,Partners in Science,Research,New Jersey,Medicine,,High School,"Ages: Rising Junior or Senior Location: Various Timeline: Summer Deadline: Contact for Deadline Partners in Science pairs high schoolers with demonstrated potential in STEM with mentors in the science, health, and medical fields. While not an internship in name, participants gain hands-on experience in a college or university lab, immersing themselves in research, growing their network, and developing their science and communication skills. Participants receive a stipend upon successfully...",https://lsc.org/education/educators/partners-in-science,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-02T13:12:46+00:00
